hour_of_year,temperature,heat_runtime,aux_runtime,emg_runtime
4729,73.6869127684478,0,0,0
4730,73.1957282410941,0,0,0
4731,72.6624990640051,0,0,0
4732,72.1072535887199,0,0,0
4733,71.580810681559,0,0,0
4734,71.0303050555556,0,0,0
4735,70.6151068431187,0,0,0
4736,70.4309841843435,0,0,0
4737,70.4939173364899,0,0,0
4738,70.7607513087121,0,0,0
4739,71.1696069175686,0,0,0
4740,71.7455374612859,0,0,0
4741,72.4125012674271,0,0,0
4742,73.1132851974018,0,0,0
4743,73.7645713514631,0,0,0
4744,74.3246281634861,0,0,0
4745,74.8418258095421,0,0,0
4746,75.3069555553435,0,0,0
4747,75.6217516057252,0,0,0
4748,75.6827968812421,0,0,0
4749,75.5323129793258,0,0,0
4750,75.218538416033,0,0,0
4751,74.8095336292776,0,0,0
4752,74.3775384711661,0,0,0
4753,73.9258297155935,0,0,0
4754,73.4733366114268,0,0,0
4755,72.9578454924242,0,0,0
4756,72.3988613626895,0,0,0
4757,71.8357102717803,0,0,0
4758,71.2944331095329,0,0,0
4759,70.899219206755,0,0,0
4760,70.7140296962013,0,0,0
4761,70.7917052508225,0,0,0
4762,71.1098093139724,0,0,0
4763,71.6058152807017,0,0,0
4764,72.243532527569,0,0,0
4765,72.8917211622807,0,0,0
4766,73.5451981600629,0,0,0
4767,74.1837433712406,0,0,0
4768,74.7842817988722,0,0,0
4769,75.271508341582,0,0,0
4770,75.6740245635965,0,0,0
4771,75.9386882290101,0,0,0
4772,75.9899685097118,0,0,0
4773,75.8025528963033,0,0,0
4774,75.4253308674812,0,0,0
4775,75.0358534385965,0,0,0
4776,74.6393901347118,0,0,0
4777,74.2270811234335,0,0,0
4778,73.7730333721805,0,0,0
4779,73.3152224276316,0,0,0
4780,72.8312170638203,0,0,0
4781,72.3659429660378,0,0,0
4782,71.8921284489349,0,0,0
4783,71.4938261149749,0,0,0
4784,71.3336653643484,0,0,0
4785,71.44478354599,0,0,0
4786,71.7222471191825,0,0,0
4787,72.0765098393082,0,0,0
4788,72.5063724996856,0,0,0
4789,73.0026311012579,0,0,0
4790,73.4887665780075,0,0,0
