hour_of_year,heat_runtime,aux_runtime,emg_runtime,temperature,day_of_year
8042,0.21063157894736848,0.10207894736842105,0,41.73196710176316,336
8043,0.18361722473684206,0.10865311002631578,0,41.29784867543948,336
8044,0.17242105263157895,0.10026315789473683,0,40.86515350526445,336
8045,0.42501818178947387,0.11721100500000003,0,40.545828949134204,336
8046,0.6432918660000001,0.12533971294736856,0,40.3072763206263,336
8047,0.9162315789473683,0.25026746447368425,0,39.949425432456586,336
8048,0.9833684210526314,0.2471842105263158,0,39.47579824692631,336
8049,0.9459215311578951,0.1659028708421054,0,39.48167982543683,336
8050,0.5797894736842104,0.2545622013157897,0,40.29388596753941,336
8051,0.43527272715789467,0.1846794258157895,0,41.22341665570003,336
8052,0.3849186603157895,0.11161722489473688,0,41.747835528939454,336
8053,0.39861244010526325,0.10027751194736839,0,42.257201751327585,336
8054,0.5238660287368422,0.1419043061842105,0,42.35324343026578,336
8055,0.6565263157894736,0.15757894736842107,0,41.876879381588154,336
8056,0.6775693781052631,0.2561267942368422,0,40.82283334034998,336
8057,0.7673684210526315,0.22484210526315795,0,39.60604823333553,336
8058,0.766736842105263,0.26494736842105276,0,38.66486842104344,336
8059,0.6994736842105264,0.2552368421052633,0,38.036228073692136,336
8060,0.742421052631579,0.14510526315789482,0,37.4146820118368,336
8061,0.7992673825263158,0.14052657978947375,0,36.901355248249985,336
8062,0.5014736842105263,0.16436842105263166,0,36.57682893816443,336
8063,0.3664019137894738,0.09064593307894736,0,36.2792412328842,336
8064,0.2261077386315789,0.11973444947368422,0,35.98927192325527,336
8065,0.3199291866315789,0.1276765550526316,0,35.60018859648818,337
8066,0.33858373199999997,0.15327129189473693,0,35.25226315750924,337
8067,0.3406220096842105,0.13298325355263166,0,35.087188605524986,337
8068,0.477846889894737,0.16229425839473693,0,35.05027632363945,337
8069,0.7027980862105265,0.16356315789473694,0,34.85909210272368,337
8070,1.0458526769960477,0.239507006798419,0,34.50835749253756,337
8071,1.2534832534736844,0.3694234449473685,0,34.284412287155234,337
8072,1.1745598276679843,0.3800790519367591,0,34.099942928891984,337
8073,0.9934163567298312,0.34051565546684215,0,34.52478508464341,337
8074,0.7478181817894737,0.32563718551500004,0,36.15155262780921,337
8075,0.537301435263158,0.15915789473684216,0,37.637486831625026,337
8076,0.5390698563157895,0.20074019139473687,0,38.80758113772241,337
8077,0.42324401905263165,0.2303325359210528,0,39.64181578421973,337
8078,0.5021052631578948,0.29807655521052645,0,39.98924999556185,337
8079,0.5396842105263159,0.14178947368421063,0,39.82454823996448,337
8080,0.7329473684210527,0.167842105263158,0,39.01592981606184,337
8081,0.6221052631578949,0.12110526315789484,0,37.88144296929863,337
8082,0.6906315789473687,0.16784210526315796,0,36.75438596236579,337
8083,0.6287368421052634,0.1437631578947369,0,35.99808771749084,337
8084,0.817263157894737,0.16492105263157902,0,35.33250876500793,337
8085,0.7106124401052631,0.1326315789473685,0,34.79489034911711,337
8086,0.6201703348421055,0.17251578923684222,0,34.358083333723684,337
8087,0.4110983662105264,0.14438038278947377,0,33.889065789914476,337
8088,0.321703349368421,0.1337081340000001,0,33.4800745614513,337
8089,0.37139712915789463,0.17377033492105265,0,33.20812061320526,338
8090,0.42881913884210554,0.17327942605263166,0,33.113697367153925,338
8091,0.5157416267368423,0.21083971223684211,0,33.00092105091973,338
8092,0.5824306218947372,0.24470813392105267,0,32.89020613855653,338
8093,0.8406315789473686,0.23649760768421058,0,32.8293727990789,338
8094,1.0887559809473688,0.4893861248684212,0,32.89353509020396,338
8095,1.1904688995789474,0.5285023924736845,0,33.0607631578829,338
8096,0.9294545453684212,0.42281339715789507,0,33.31154605262494,338
8097,1.0365645931578948,0.482941148289474,0,33.899964910943424,338
8098,0.790822966421053,0.29679186600000007,0,35.28602412903947,338
8099,0.5971578947368424,0.21970440536842128,0,36.592916674965814,338
8100,0.5215464113684212,0.2189698564736844,0,37.72278509389737,338
8101,0.4902488036842107,0.1626820822105264,0,38.59773904224872,338
8102,0.5291483254736843,0.13288277510526325,0,39.11485525573683,338
8103,0.6202277510526315,0.13774593300000001,0,39.087366235478896,338
8104,0.6833971291578947,0.1712511961578949,0,38.32888596170656,338
8105,0.8096842105263158,0.16476315789473692,0,36.95646491044474,338
8106,0.7856842105263161,0.18094736842105263,0,35.813436394125006,338
8107,0.6211578947368421,0.20313157894736852,0,35.14776536249739,338
8108,0.6713684210526317,0.19523684210526326,0,34.47456798126187,338
8109,0.6849473684210523,0.18592105263157904,0,33.9521359654,338
8110,0.5349473684210525,0.17808373200000005,0,33.58763158781189,338
8111,0.5456842105263161,0.1962473684210527,0,33.2848815714066,338
8112,0.4417033493684213,0.21462201000000009,0,32.8545197324618,338
8113,0.43548516757894784,0.20219138786842109,0,32.37886185144209,339
8114,0.504579904421053,0.20417081328947384,0,31.969019731481595,339
8115,0.587799042947369,0.2412344497894737,0,31.662543850923676,339
8116,0.6457320574736847,0.3372272727631578,0,31.135100886842107,339
8117,0.8924095692631581,0.3487693780263158,0,30.71687938932899,339
8118,1.2089052631578947,0.4804658639210529,0,30.23793421423816,339
8119,1.2883363275889326,0.5960474308300397,0,29.771414152100142,339
8120,1.2289754688888885,0.5926984126984132,0,29.354995584873038,339
8121,0.8713492822105269,0.5133990434210529,0,29.743883772453966,339
8122,0.7979885166315797,0.5253172248157896,0,31.571035083638108,339
8123,0.741387559894737,0.3540861243157896,0,33.30480702013816,339
8124,0.7645550238947367,0.26162440168421075,0,34.6958640214474,339
8125,0.820650717789474,0.19616267889473693,0,35.81604167365394,339
8126,0.84,0.24610765586842123,0,36.3953596535092,339
8127,0.9314641149473687,0.29163875613157914,0,36.19367982398684,339
8128,1.0340727271578949,0.27865980868421053,0,35.50813595341578,339
8129,0.9763062202105266,0.3865478468684212,0,34.20793421671445,339
8130,0.9081818182105262,0.33465789473684243,0,32.7863289566671,339
8131,1.0363636364210522,0.36106937802631606,0,31.80329605903554,339
8132,1.1859043061052634,0.3974066985789475,0,31.16568859855921,339
8133,0.9570200955789473,0.3416727272368423,0,30.672664469657857,339
8134,0.9269971291578949,0.19634354068421075,0,30.30042544004868,339
8135,0.6826736842105268,0.18716124371052648,0,30.15334210846055,339
8136,0.43547368421052646,0.2029148321052633,0,29.84708772253821,339
8137,0.4278947368421055,0.206598086131579,0,29.446232458717102,340
8138,0.5350851675789478,0.20293492823684225,0,29.159859640778922,340
8139,0.6135617226315794,0.2588784689210527,0,28.98237719302897,340
8140,0.7116114833684216,0.29951052671052636,0,28.749688596659205,340
8141,0.9494813396842109,0.36435933015789473,0,28.738081140565786,340
8142,1.2411674639999997,0.43759808613157886,0,28.756024122285524,340
8143,1.4633569376842093,0.5331516746052631,0,28.672956150090805,340
8144,1.4112631578947368,0.403973684131579,0,28.62103946623158,340
8145,1.1941205741052632,0.5273382773684214,0,28.91091008889476,340
8146,1.1190430623157892,0.5587090909736844,0,29.916010974511856,340
8147,0.9739464113684213,0.31678564594736847,0,31.168280709261815,340
8148,0.9777358850526319,0.23051052631578947,0,32.18064912981183,340
8149,0.9850507177894736,0.28355598086842126,0,32.97855702438819,340
8150,0.8809377991578946,0.3828947368421054,0,33.394631582317075,340
8151,0.9837473684210528,0.4079038277368422,0,33.377333326714485,340
8152,1.0887444975789475,0.2857220096052631,0,32.78229823627103,340
8153,1.094308134,0.32297081297368435,0,31.961763153022368,340
8154,0.961952153052632,0.22043540668421074,0,31.19699122556319,340
8155,0.9919808611578951,0.23989234452631597,0,30.700228077544768,340
8156,1.0246105263157896,0.21978086123684223,0,30.33264474083555,340
8157,0.8582124401052633,0.21782153107894747,0,29.899394744735485,340
8158,0.751676555052632,0.2113966507105264,0,29.519728079364494,340
8159,0.615910047789474,0.21452009573684222,0,29.1176973692566,340
8160,0.5219483254736846,0.21648660315789478,0,28.878072364773686,340
8161,0.5191062202105269,0.22943397157894743,0,28.530767553689447,341
8162,0.5434220096842111,0.24483588521052635,0,28.276024127767133,341
8163,0.561307176947369,0.3116899515789474,0,28.101263172059216,341
8164,0.7516421052631584,0.27833110050000004,0,27.934978049303925,341
8165,1.0494315789473685,0.37415167499999996,0,27.788828945698697,341
8166,1.3409052631578946,0.43625454568421035,0,27.677929820796013,341
8167,1.4646315789473685,0.6360057410526319,0,27.551497808361866,341
8168,1.4933684210526312,0.6075961721052635,0,27.403004366703968,341
8169,1.3200918659999996,0.491081339684211,0,27.753592101296007,341
8170,1.1901588517894737,0.4333105263157896,0,29.24577192407106,341
8171,1.0999291866315786,0.45814449757894754,0,30.907429829956545,341
8172,0.9042258372631581,0.35490861228947407,0,31.87487938439214,341
8173,0.7601684210526317,0.3231574162894738,0,32.495307018251324,341
8174,0.6563023923157896,0.3607851675000001,0,32.87333772369871,341
8175,0.7184842105263158,0.2786684210526318,0,32.93435964639865,341
8176,0.8770105263157894,0.287842105263158,0,32.32846930828822,341
8177,0.9687330142105264,0.30603875597368446,0,31.082942984082873,341
8178,1.0717607655789472,0.2974952158421055,0,29.773625007231544,341
8179,1.0263157894736843,0.310765550526316,0,28.677692988472355,341
8180,0.9596842105263159,0.2969928229736844,0,27.736070176840737,341
8181,0.871067942526316,0.3928837316842106,0,27.036302634471056,341
8182,0.8468382773684211,0.331642105263158,0,26.536449566535495,341
8183,0.6019578947368421,0.3418909089473685,0,26.135802638076324,341
8184,0.4719674640000001,0.28191961721052644,0,25.66928728508289,341
