zipcode,cooling_zone,heating_zone,state,city,latitude,longitude,elevation_ft,hdd,cdd
98822,2,2,WA,WATERVILLE,47.6497,-120.08,"2,664","7,387",389
98022,1,1,WA,BUCKLEY 1 NE,47.1694,-122.0036,685,"4,825",175
98022,1,1,WA,BUCKLEY 1 NE,47.1694,-122.0036,685,"4,825",175
98022,1,1,WA,BUCKLEY 1 NE,47.1694,-122.0036,685,"4,825",175
98022,1,1,WA,BUCKLEY 1 NE,47.1694,-122.0036,685,"4,825",175
98022,1,1,WA,BUCKLEY 1 NE,47.1694,-122.0036,685,"4,825",175
98022,1,1,WA,BUCKLEY 1 NE,47.1694,-122.0036,685,"4,825",175
98022,1,1,WA,BUCKLEY 1 NE,47.1694,-122.0036,685,"4,825",175
98823,3,1,WA,EPHRATA MUNI AP,47.3078,-119.5153,"1,252","5,968",771
98542,1,1,WA,TOLEDO FAA AP,46.4833,-122.8167,379,"5,211",137
98201,1,1,WA,EVERETT,47.9753,-122.195,60,"4,937",111
98203,1,1,WA,EVERETT SNOHOMISH AP,47.9078,-122.2803,606,"5,096",76
98203,1,1,WA,EVERETT SNOHOMISH AP,47.9078,-122.2803,606,"5,096",76
98203,1,1,WA,EVERETT SNOHOMISH AP,47.9078,-122.2803,606,"5,096",76
